ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (June 2023)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Southern,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,North,Tap Mun,Causeway Bay,Central,Mong Kok
2023-06-01,01,5,3,4,4,5,4,5,4,6,6,5,4,4,4,3,5,4,5
,02,6,3,4,3,4,4,4*,3,5,6,5,3,3,4,3,5,4,4
,03,5,3,4,3,4,4,4*,3,4,5,5,3,3,3,4,5,4,4
,04,5*,3,4,3,4,4,4,3,4,5,5,3,3,3,3,5,4,4
,05,5,3,4,3,4*,4,3,3,4,5,4,3,3,3,4,4,4,4
,06,5,3,4,4,4*,4,4,4,4,5,4,3,3,3,4,4,4,5
,07,5,4,5,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4
,08,5,4,5,4,4,4,4,5,4,5,4,4,4,4,4,5,5,4
,09,5,4,5,4,4,4,4,4,4,5,4,4,4,4,4,5,5,4
,10,5,4,4,4,4,4,4,4,4,4,3,4,4,4,3,5,5,5
,11,5,4,4,4,4,4,4,4,4,4*,3,4,4,4,3,5,5,5
,12,5,4,5,4,4*,4,4,4*,4,4*,4*,4,4,4,4,6,5,5
,13,5,4,5,4,5*,5*,4,4*,5,5*,4*,4,4,4,4,6,5,5
,14,5,5,5,5,5,5*,5,5*,5,5*,5*,5,4,5,5,6,5,5
,15,5,5,5,5,5,5*,5,5*,5,5,4,5,5,6,5,6,5,6
,16,6,5,5,5,5,6*,5,5*,6,6,4,6,5,6,6,6,6,6
,17,6*,5,6,5,6,6,6,6*,8,6,5,6,6,7,6,6,6,6
,18,7*,6,6,6,7,7,6,6,8,7,5,7,6,8,6,7,6,7
,19,7,6,7,6,7,7,7,6,8,7,5,8,7,8,6,7,7,7
,20,7,6,7,6,7,7,6,6,7,7,4,8,6,8,5,7,7,7
,21,7,6,7,6,7,6,6,6,7,6,4,7,6,7,5,7,7,7
,22,7,5,6,6,6,6,5,5,6,6,3,6,5,6,5,7,7,7
,23,6,4,5,6,6,5,5,5,5,6,3,5,4,5,4,6,6,6
,24,5,4,5,5,5,5,4,5,5,5,3,4,4,5,3,5,5,6
,Daily Max,7,6,7,6,7,7,7,6,8,7,5,8,7,8,6,7,7,7
2023-06-02,01,5,4,5,5,5,5,5,5,5,5,3,4,4,4,3,5,5,5
,02,5,4,5,4,5,5,5,5,5,4,3,4,4,4,3,5,4,5
,03,5,4,5,4,5,5,4,5,4*,4,3,4,4,4,3,4,4,5
,04,4,4,4,4,4,5,4,4,4*,4,3,3,4,4,3,4,4,4
